"part3_id","Group","prop_correct","practice_prop"
"6768434c73d3cbf6add74da9","SAQ",0.771428571428571,0.49
"6978c457ed039d215eea38c4","Restudy",0.914285714285714,NA
"66cdced52b59520d110dc694","SAQ",0.642857142857143,0.39
"5ea0b2cbf710490ac2644b7e","Restudy",0.364285714285714,NA
"5fac4dc60d67201ffe756ca1","SAQ",0.814285714285714,0.62
"5f10d13957b4763f401690e5","Restudy",0.5,NA
"5bbc3d95f1f9ba000141d855","SAQ",0.514285714285714,0.42
"66a93de3f2548f23b727c479","Restudy",0.45,NA
"5d8272296cca0b001759f562","Restudy",0.657142857142857,NA
"5b7550cb09105000015131ae","SAQ",0.635714285714286,0.53
"6748b5c2eb65f80fc92caa93","SAQ",0.607142857142857,0.71
"664d13e7bd941e750966cb72","Restudy",0.335714285714286,NA
"57d42e23f7b8540001e77bfc","SAQ",0.7,0.65
"66eb295e917ab5b37e00f625","SAQ",0.757142857142857,0.71
"5f53f6458dff8f755bac4a9d","SAQ",0.507142857142857,0.54
"5fe1f5f751f3a9ceb57d935a","SAQ",0.642857142857143,0.63
"5f04d99fac08ac7b22af01be","Restudy",0.642857142857143,NA
"5f8bf55617ed3331cd61707e","Restudy",0.478571428571429,NA
"6659f6d44d033081c991c539","Restudy",0.414285714285714,NA
"6126086041dbfc8b499a693c","Restudy",0.321428571428571,NA
"681485b41e4f472801db525a","Restudy",0.514285714285714,NA
"64481bca476d6bfbae2066e2","Restudy",0.828571428571429,NA
"6617d376619a2b4541498f2c","SAQ",0.671428571428571,0.54
"60f20aac9a3cd813c94175b4","SAQ",0.557142857142857,0.59
"5f1b5eddc8514b195ccc602a","SAQ",0.564285714285714,0.4
"5e1f7b5450f6aa0122fcef8b","Restudy",0.564285714285714,NA
"57892012454e5400015f35c4","Restudy",0.678571428571429,NA
"6773dea609f77d473900997a","Restudy",0.771428571428571,NA
"6658b1a747c3b7e6e7d4a63e","SAQ",0.678571428571429,0.78
"5eb7094fbb8ed70b61398cff","Restudy",0.314285714285714,NA
"57a7326516a091000112edb2","SAQ",0.857142857142857,0.82
"559272f4fdf99b7e42e96932","Restudy",0.542857142857143,NA
"677680efa1797f88af07cd6a","Restudy",0.557142857142857,NA
"60170c02d3a5ad927c5ccb77","Restudy",0.557142857142857,NA
"698a231eb1fe98dda75f2e9f","Restudy",0.507142857142857,NA
"5b2c0994f1ca3c000190196a","Restudy",0.371428571428571,NA
"54468870fdf99b648b6a5c69","Restudy",0.514285714285714,NA
"5a8f01d95292b80001235d34","SAQ",0.557142857142857,0.55
"6655dd1f8fa8f27af8a98304","Restudy",0.564285714285714,NA
"63d7a22ff9d8f3c778a83305","SAQ",0.614285714285714,0.4
"57e03c03538c8c0001616262","SAQ",0.485714285714286,0.43
"6760a1e051f418d6ac0490d8","Restudy",0.707142857142857,NA
"5e80b109ca1800791e1ca40c","Restudy",0.607142857142857,NA
"5841a2d39d65770001cebfa1","Restudy",0.542857142857143,NA
"5bb0cc738f3bd70001e513e3","SAQ",0.457142857142857,0.3
"5a7226d9f660ae0001a9a547","Restudy",0.342857142857143,NA
"6447abcf5525c01385eda994","SAQ",0.435714285714286,0.42
"66b5172c8f0bd3b23ce66c22","SAQ",0.507142857142857,0.34
"5c85277a2421a3001142e5e3","SAQ",0.657142857142857,0.43
"61112fb91e6eb028aa1ba59b","SAQ",0.557142857142857,0.73
"5dbf5fe16849043f135aa2c0","Restudy",0.4,NA
"69ce6ea751adfe70f62ce6f0","SAQ",0.428571428571429,0.46
"5e623958c6eb9c0332e82559","Restudy",0.55,NA
"69e7204dca8016d782310f8f","Restudy",0.942857142857143,NA
"676e6f5eb2e5690f74382e58","Restudy",0.5,NA
"66bbafb05de7e549455aa4ff","SAQ",0.657142857142857,0.71
"5a1c2c39728b1b0001adae33","SAQ",0.628571428571429,0.5
"671d3690dc5df6d004cfb65e","SAQ",0.635714285714286,0.58
"67645f08789bda1a81f357b5","Restudy",0.664285714285714,NA
"5fb4661ad97d9a1668f07086","SAQ",0.621428571428571,0.56
"62aa591a476ebabe28612a92","Restudy",0.428571428571429,NA
"6682504bc0252a33b4c4406e","SAQ",0.742857142857143,0.63
"62b0578ba025983393cd034d","SAQ",0.592857142857143,0.66
"654e3926a9f47dd3e0bd5471","Restudy",0.735714285714286,NA
"60745654775360c343322bd9","Restudy",0.671428571428571,NA
"69790c4c9bae6e6d3471dec3","SAQ",0.635714285714286,0.66
"65438a7c5d2ff9a08cbe7604","Restudy",0.342857142857143,NA
"611ab24657af79642f9ed581","Restudy",0.542857142857143,NA
"62ac71cec3309a48781684eb","SAQ",0.421428571428571,0.64
"5fb3a038ffc74f03b1f21062","Restudy",0.414285714285714,NA
"5ec43020306f252ea5d83f6f","Restudy",0.807142857142857,NA
"6002ae1ea178912bfa128adf","SAQ",0.8,0.67
"6266ac01a2a15cce6ed5fba7","SAQ",0.671428571428571,0.77
"607f179ab5b13c7618778498","Restudy",0.514285714285714,NA
"5c3e562ebff5620001e34dd5","SAQ",0.714285714285714,0.67
"6766e906631cac455823baba","Restudy",0.228571428571429,NA
"5f653cb18aad310a9ee7c32d","Restudy",0.507142857142857,NA
"63d40228c2fb877b0bfe84ec","Restudy",0.314285714285714,NA
